Picture	Sound	Correct Answer
set17_Page_02_tn.png	194_dukdalf.wav	2
set17_Page_03_tn.png	195_ijlen.wav	3
set17_Page_04_tn.png	196_zadeldak.wav	4
set17_Page_05_tn.png	197_succulent.wav	2
set17_Page_06_tn.png	198_gecapitonneerd.wav	1
set17_Page_07_tn.png	199_tweeslachtig.wav	3
set17_Page_08_tn.png	200_bovenkruier.wav	3
set17_Page_09_tn.png	201_lamenteren.wav	1
set17_Page_10_tn.png	202_convex.wav	3
set17_Page_11_tn.png	203_nonnetje.wav	4
set17_Page_12_tn.png	204_wetten.wav	1
